dt_refer;valor_mercado;lpa;p/l;l/p;ebitda;divida_bruta;caixa_total;divida_liquida;dl_ebitda;dl_pl;ev_ebitda;vpa;p/vp;margem_liquida;roe;roic;proventos;payout;buyback;fco;fci;fcf;capex;free_cash_flow;net_capex;rd;adjusted_net_capex;working_capital;change_in_non_cash_wc;reinvestment_rate;effective_tax_rate;fcfe;fcff
2017-12-31;14705634900.0;1.074713862235217;18.479337336074433;5.41144945737773;1686583.0;13888790.0;12029023.0;1859767.0;1.1026833544509818;0.13442900919334946;9.821871737115814;18.683619077201488;1.062963225590163;4.528263572283399;6.125063843708578;3.5372232712374356;0.0;0.0;48395;2505920.0;-3478510.0;1103954.0;2265757.0;240163.0;1638758.0;157564.0;1796322.0;14122088.0;-442368.0;1.3806882669122214;0.08522621159142113;957318.0;-227110.33018288435
2018-12-31;16038471900.0;-0.9035200853517722;-23.972903703150106;-4.171376201993408;683240.0;14134065.0;11718339.0;2415726.0;3.5356917042327733;0.1582319348524012;27.009832416134888;20.618116994051036;1.050532403431874;-3.437565766210403;-4.215420533996411;-0.046324861971808566;44046.0;-6.844032021480248;0;4012758.0;-1915381.0;-1885826.0;1625133.0;2387625.0;1044978.0;168532.0;1213510.0;15663589.0;-3407947.0;161.11872246696035;0.0;-61486.0;2466054.0
2019-12-31;14594565150.0;-1.7783379362967864;-11.08338274616361;-9.022516165889327;-193388.0;366729.0;5098806.0;-4732077.0;24.469341427596333;-0.32479221049487317;-50.99844949014417;19.67621967277319;1.0017168098236653;-12.36238565194975;-8.88212623147232;-7.2970841938498605;0.0;-0.0;0;3749394.0;1588652.0;-1026415.0;2260833.0;1488561.0;1810565.0;78439.0;1889004.0;8808711.0;-3700698.0;1.6622372611391918;0.0;-431636.0;1246477.0
2020-12-31;6545710600.0;-4.883436759333662;-1.8102005689137264;-55.24249727753012;-821215.0;23114640.0;14034460.0;9080180.0;-11.057006995731934;0.5945360729902968;-19.027770559475897;20.625843220138698;0.42858853844912315;-18.309114191576683;-23.546782611997934;-5.119209177084485;0.0;-0.0;0;-6512364.0;-943297.0;5241843.0;1161898.0;-7674262.0;302040.0;155105.0;457145.0;19324648.0;5730524.0;-3.148734256122626;0.0;-4388383.0;-7713637.0
2021-12-31;18356127350.0;-0.3711438082826332;-66.7935162779866;-1.4971513040848454;1713244.0;22472050.0;14337186.0;8134864.0;4.748222669975789;0.525353526534058;15.462474317727072;20.9119296658181;1.1854477514105672;-1.180509406717026;-1.7282902340345396;1.7537054555094262;0.0;-0.0;0;2853204.0;-790111.0;-2379941.0;1459922.0;1393282.0;801396.0;233402.0;1034798.0;17003384.0;-2484961.0;-2.1785766329601124;3.2034696549282438;-950515.0;-640474.1075066072
2022-12-31;10588649500.0;-1.2879150263685657;-11.103216988096337;-9.006398785794165;-4928.0;16713435.0;12059457.0;4653978.0;-944.3948863636364;0.3158069594709998;-3093.0656452922076;19.902062892911886;0.7185184810712734;-4.465961137152988;-7.1061176792950915;-1.7175875676020795;0.0;-0.0;0;3840872.0;-594629.0;-3374198.0;1321107.0;2519765.0;770447.0;566736.0;1337183.0;13249954.0;-1868113.0;0.9828669807565926;0.014495358624376068;-4116440.0;550131.4473073999
2023-12-31;16564202050.0;1.0581985644156038;21.139699818392742;4.7304361395422605;2724662.0;13973509.0;10413069.0;3560440.0;1.3067455706432578;0.24197256669224282;7.386105891299545;19.871607705968547;1.125726731877917;3.0039811161150123;5.330588144945403;6.093554462413367;0.0;0.0;0;2827132.0;-2249964.0;-1723124.0;2266907.0;560225.0;1064854.0;452755.0;1517609.0;11570038.0;-516942.0;0.5724302286535747;0.0;-1466937.0;974697.0
2024-12-31;41562300450.0;2.591412153174019;21.66000492482477;4.616804121101048;5103940.0;15425414.0;13640186.0;1785228.0;0.3497744879446075;0.08619747622846859;8.492954158943874;27.970137683752778;2.0067831139996373;5.4308422265541045;9.288974679429796;7.159060072577391;51430.0;2.673311741000119;0;5532441.0;-3214108.0;-1911350.0;2609252.0;2923189.0;1277433.0;298148.0;1575581.0;12979890.0;286865.0;0.7199191657122227;0.38119212037835515;-1902364.0;769920.1976862783
