dt_refer;valor_mercado;lpa;lpa_acum;p/l;l/p;ebitda;ebitda_acum;divida_bruta;caixa_total;divida_liquida;dl_ebitda;dl_pl;ev_ebitda;vpa;p/vp;margem_liquida;roe;roic;proventos;payout;buyback_nao_acum;fco_nao_acum;fci_nao_acum;fcf_nao_acum;fco_acum;fci_acum;fcf_acum;capex;capex_acum;free_cash_flow;net_capex;rd;adjusted_net_capex;working_capital;change_in_non_cash_wc;change_in_non_cash_wc_acum;reinvestment_rate;effective_tax_rate;fcfe;fcff
2021-03-31;5245182309.10504;16.565169165505537;0.24303;91.37447815355792;1.0943974950198523;24998801.0;142519.21;295222.03500000003;414770.313;-119548.27799999999;-0.8388222050908084;-0.10170958883066122;35.96451335300721;4.976289466984762;4.462509581283403;1.7970217273608737;4.883716614984321;6.7120248811224155;0.0;0.0;0;25142690.0;-43206391.0;-93330421.0;209927.256;-173779.511;-63971.815;12949607.0;50691.798;159235.45799999998;-8645.069;0;-8645.069;902862.204;-12290071.0;-122197.71800000001;-1.325557479315478;0.0;83546.635;214025.13
2021-06-30;7018280660.303055;343.74262019384275;0.50628;58.690008040032815;1.703867546444863;104740075.0;205695.274;286797.592;429971.468;-143173.876;-0.6960484468884782;-0.11393929880866824;33.423746936952256;5.320034500410544;5.585222665043776;32.976222289242294;9.516526870849827;9.912813172690091;0.0;0.0;0;109499114.0;-74478307.0;-39778494.0;281796.477;-234069.509;-117253.155;19638938.0;56142.427;225654.05000000002;-7086.418000000001;0;-7086.418000000001;856553.437;-32595971.0;-133763.415;-0.9206342886905354;0.002929811432456422;158962.137;283060.63737933635
2021-09-30;6297253236.130051;0.0;0.51334;51.93621079253942;1.9254388888602727;83674413.0;276996.571;290905.429;465778.835;-174873.40600000002;-0.6313197501639831;-0.1302267312925799;22.1027278714221;5.685227365547217;4.6895106798734;25.579450533306673;15.45296840790969;14.663079698751405;0.0;0.0;0;79969016.0;-42312624.0;-11695594.0;249198.018;-264205.38300000003;-140448.136;25621328.0;69587.005;179611.013;2913.13;0;2913.13;834912.529;-39016944.0;-30024.958000000002;-0.11317480278105217;0.0;110207.58200000004;237434.524
2022-03-31;5973373316.508766;194.42037998250527;0.5547300000000001;45.589225386287296;2.193500748316702;70910247.0;284323.536;285466.637;393684.702;-108218.065;-0.38061592270011724;-0.07529524899913347;20.628454942642406;6.084941386554756;4.156114149992492;13.609492676309745;15.117993285480729;14.322027015549942;0.0;0.0;0;-29292871.0;-30898175.0;-19024586.0;185317.949;-190895.497;-163829.095;23869376.0;82079.249;103238.7;4645.619;0;4645.619;883681.497;91728094.0;52711.15;0.23246974981125157;0.0;13009.7;149533.13700000002
2022-06-30;4751652826.5143585;377.02317586242737;0.9151900000000001;21.981516181279638;4.5492767275609545;114195145.0;373519.88;232277.203;276376.256;-44099.052999999985;-0.11806346960702596;-0.02903465656427484;12.603221476496401;6.430382083752874;3.1284709884928885;18.971855835807226;19.911399046982574;19.053089995269055;0.0;0.0;0;16781596.0;36931172.0;-135142369.0;176956.855;-110757.93400000001;-205641.043;31313956.0;100443.598;76513.25700000001;13244.214;0;13244.214;928915.74;167253946.0;140527.073;0.460886666531452;0.0;51008.831;132549.209
2022-09-30;5856336287.594881;288.43368965098057;0.85988;28.834496231174928;3.468068219339419;94519448.0;363299.253;235158.998;209291.646;25867.351999999984;0.07120122539861094;0.016326588844377755;16.191070009149954;6.7078095856189055;3.6963193875419202;17.34069106322962;18.26334052512931;18.003034342976;0.0;0.0;0;-13113416.0;-34998875.0;-15161637.0;54344.325000000004;-71278.50200000001;-181024.18600000002;51233060.0;132037.72;-77693.39499999999;30956.786;0;30956.786;970033.2980000001;255717853.0;249296.88;0.8555525545718697;0.0;-97492.835;-18035.347
2023-03-31;4777594629.745268;0.0;0.85988;23.52315980167995;4.251129560955426;80119137.0;359743.977;221949.427;291595.272;-69645.845;-0.19359836287127052;-0.04115969275683665;13.086942619598792;7.163863406347415;2.8234897153883045;9.848940522567261;14.2824827594691;15.064737265524514;0.0;0.0;0;26682064.0;-42706816.0;-22547506.0;1057.373;-71672.694;-191876.098;44036895.0;150453.287;-149395.91400000002;35077.329;0;35077.329;1033569.55;35976277.0;291694.13;1.133266377381748;0.0;-201395.99;-82403.44
2023-06-30;6267634358.10327;0.0;0.66546;39.87547833435207;2.507806907330605;158437549.0;447271.279;220588.909;207127.413;13461.496000000014;0.03009693810453681;0.007464443564573448;14.043145958637039;7.635194352745983;3.4754237530095713;19.643238004961898;16.953100321831922;17.403939818065084;0.0;0.0;0;37610412.0;22018882.0;-102632542.0;67960.656;-18755.637;-275484.054;47255973.0;173839.884;-105879.22799999999;52670.915;0;52670.915;1128266.639;142788150.0;306777.909;1.0204176459173762;0.05674078122853511;-167478.552;-40509.225329078494
2023-09-30;5911118935.506275;324.0456009556974;0.61248;40.860341758688165;2.4473608319425506;121079357.0;454155.49100000004;274381.58;206834.067;67547.513;0.14873212883822648;0.03599462410540854;13.164360151942486;7.945037105748447;3.1499087779280788;16.736730638937246;15.6251578869332;15.7408653337265;0.0;0.0;0;-3849203.0;-44299438.0;39206875.0;47329.857;-99986.247;-101134.81;48097669.0;190623.597;-143293.74;61303.755000000005;0;61303.755000000005;1156914.338;224594042.0;313057.949;1.1056714936054697;0.017718864836072153;-91112.279;-51071.46944284052
2023-09-30;5911118935.506275;324.0456009556974;0.61248;40.860341758688165;2.4473608319425506;121079357.0;454155.49100000004;274381.58;206834.067;67547.513;0.14873212883822648;0.03599462410540854;13.164360151942486;7.945037105748447;3.1499087779280788;16.736730638937246;15.6251578869332;15.7408653337265;0.0;0.0;0;-3849203.0;-44299438.0;39206875.0;47329.857;-99986.247;-101134.81;48097669.0;190623.597;-143293.74;61303.755000000005;0;61303.755000000005;1156914.338;224594042.0;313057.949;1.1056714936054697;0.017718864836072153;-91112.279;-51071.46944284052
2023-09-30;5911118935.506275;324.0456009556974;0.61248;40.860341758688165;2.4473608319425506;121079357.0;454155.49100000004;274381.58;206834.067;67547.513;0.14873212883822648;0.03599462410540854;13.164360151942486;7.945037105748447;3.1499087779280788;16.736730638937246;15.6251578869332;15.7408653337265;0.0;0.0;0;-3849203.0;-44299438.0;39206875.0;47329.857;-99986.247;-101134.81;48097669.0;190623.597;-143293.74;61303.755000000005;0;61303.755000000005;1156914.338;224594042.0;313057.949;1.1056714936054697;0.017718864836072153;-91112.279;-51071.46944284052
2024-03-31;5589814139.5719795;0.0;0.32405;73.03138736441738;1.3692742751963982;80129269.0;439765.31200000003;226091.968;365487.663;-139395.695;-0.3169774677453414;-0.07076122543678721;12.393925341187389;8.340233793656196;2.8375488818359393;8.054420339156755;13.244205345336574;14.068665130247512;0.0;0.0;0;167949605.0;-45712940.0;-73528908.0;228392.878;-110700.312;-159502.081;35317171.0;174707.708;53685.169999999984;37976.907;0;37976.907;1325335.145;-108719261.0;115874.781;0.4979775938953155;0.0;42642.85;149182.823
2024-06-30;4684298655.424969;0.0;0.32405;61.200752134695406;1.633966847007242;264820708.0;624466.883;233638.035;341860.268;-108222.23299999998;-0.17330339838053505;-0.04977995663951653;7.327972943002277;9.204202936396067;2.15467910326338;32.142985417212145;19.930607436301695;19.281589096466742;0.0;0.0;0;125678193.0;-15698505.0;-106063405.0;327389.007;-83692.001;-243017.98;38179428.0;168850.241;158538.76599999997;23083.453;0;23083.453;1428260.5150000001;-76647562.0;111970.20300000001;0.29091768690187997;0.07226630545820746;236602.409;327466.04059683706
2025-03-31;4449412325.377527;487.0412895390219;0.94075;20.02408293501798;4.993986507373113;131242003.0;625886.187;469466.474;177077.796;292388.67799999996;0.46715949971907583;0.1119431042562946;7.576139403404867;11.058275728252116;1.7034894484490906;21.419139406440422;17.95500750190264;16.7354055032784;0.0;0.0;0;-143966430.0;-42000191.0;57754293.0;169842.746;-83985.7;-136662.755;19669230.0;127674.61600000001;42168.130000000005;-36295.64499999998;0;-36295.64499999998;1899135.697;246842773.0;267704.726;0.4487403880390924;0.0;106426.61299999997;230506.84499999997
2025-06-30;6252294441.808313;639.672083439535;1.5804200000000002;16.74908606030717;5.970475024125945;230443530.0;776200.448;476314.518;186085.278;290229.24;0.37391016811162675;0.10505999635616098;8.42890995317786;11.695747723171761;2.263266207340194;19.984874979514036;21.18559096266412;20.06513486302127;0.0;0.0;0;192669194.0;11153726.0;-167678745.0;194562.335;-27119.034;-230812.592;16672978.0;109030.423;85531.912;-56981.635;0;-56981.635;2049462.78;243813504.0;373394.718;0.48688343108188636;0.02638242365616726;182445.634;288772.70712600043
