dt_refer;valor_mercado;lpa;lpa_acum;p/l;l/p;ebitda;ebitda_acum;divida_bruta;caixa_total;divida_liquida;dl_ebitda;dl_pl;ev_ebitda;vpa;p/vp;margem_liquida;roe;roic;proventos;payout;buyback_nao_acum;fco_nao_acum;fci_nao_acum;fcf_nao_acum;fco_acum;fci_acum;fcf_acum;capex;capex_acum;free_cash_flow;net_capex;rd;rd_acum;adjusted_net_capex;working_capital;change_in_non_cash_wc;change_in_non_cash_wc_acum;reinvestment_rate;effective_tax_rate;fcfe;fcff
2021-03-31;91499687.51188183;89.46301264050274;-3956.84;-0.0017496138740914614;-57155.46811831722;49534000.0;77349000.0;404316000.0;71454000.0;332862000.0;4.303378194934647;1.0393979609361583;4.304561140900489;24550.199214274035;0.0002819912824794882;1.4807250446770488;-16.527970772377397;4.722031685392948;0.0;0.0;0;40070000.0;-7427000.0;-30822000.0;150474000.0;-29047000.0;-93352000.0;8981000.0;31499000.0;118975000.0;-30334000.0;639000.0;1922000.0;-28412000.0;29503000.0;10767000.0;-2010000.0;-0.8891681767697434;0.5956907477820025;-108779000.0;27663700.887198985
2021-06-30;117920844691.8156;3.2852934252635837;-233.75;-0.03738421271829044;-2674.9259307278235;67109000.0;174140000.0;318569000.0;52139000.0;266430000.0;1.5299758814746756;0.735202406247413;2.2071370431366466;27.781063688747405;0.3145509409144728;38.87724686116882;10.992301112061591;13.954584637254225;0.0;0.0;0;56564000.0;-5187000.0;-65527000.0;172047000.0;-27570000.0;-171678000.0;7890000.0;31047000.0;141000000.0;-29956000.0;775000.0;2275000.0;-27681000.0;35610000.0;13652000.0;-3298000.0;-0.32600894501446986;0.3163429007100084;-87621000.0;129883911.09805107
2021-09-30;115806310682.844;2.3873668848339404;-23.38;-0.3664192121389893;-272.9114541135693;82719000.0;232864000.0;324124000.0;62314000.0;261810000.0;1.124304314964958;0.6968795998818171;1.6216173847518036;28.800574067059863;0.29745522293626037;25.6788986298666;19.6630723816774;20.32457242148974;31705000.0;101.5404816807584;0;55100000.0;20579000.0;-68216000.0;197837000.0;4914000.0;-243510000.0;7857000.0;30689000.0;167148000.0;-31601000.0;792000.0;2701000.0;-28900000.0;27670000.0;14755000.0;6167000.0;-0.15982817047963216;0.2380115674646753;-112322000.0;180190465.26100007
2022-03-31;161304342706.06747;3.4160765447012147;98.55;0.119959242388659;833.6164684669102;82002000.0;281364000.0;277418000.0;87568000.0;189850000.0;0.6747487240727315;0.43437872516650994;1.2480429006769433;33.505393296911144;0.35283822018266564;31.617257714927177;27.530253214082244;22.78485441839438;0.0;0.0;0;52824000.0;-4983000.0;-16455000.0;204558000.0;2982000.0;-181020000.0;12338000.0;37066000.0;167492000.0;-26358000.0;1081000.0;3287000.0;-23071000.0;69290000.0;13422000.0;28177000.0;0.0313649849809267;0.3450958599611003;-31277000.0;193552420.95026398
2022-06-30;166297475053.8909;4.164974723942842;13.25;0.908232922823924;110.10391441115668;113430000.0;345260000.0;280637000.0;100268000.0;180369000.0;0.522414991600533;0.43688537296658364;1.0040736692750127;31.649514903906685;0.3802297211807046;31.869443144595227;42.0324959065234;28.98531916151518;41038000.0;75.32119521327361;0;71804000.0;16727000.0;-89705000.0;236292000.0;27136000.0;-239903000.0;8383000.0;36468000.0;199824000.0;-28322000.0;1080000.0;3728000.0;-24594000.0;53628000.0;16558000.0;20546000.0;-0.02013830157703597;0.324665022249216;35336000.0;256937253.2444191
2022-09-30;217812626205.40506;3.533750687923233;13.5;1.1680078153257016;85.61586548298462;91755000.0;369906000.0;293403000.0;36688000.0;256715000.0;0.6940006379999243;0.6862110904692533;1.2828330067784925;28.679143550536295;0.5498108923340603;27.185493544062656;47.23994600446399;33.400948003619426;53077000.0;114.79583008910805;0;63207000.0;-3823000.0;-121013000.0;242935000.0;28500000.0;-295389000.0;10225000.0;38803000.0;204132000.0;-28202000.0;984000.0;3937000.0;-24265000.0;23520000.0;33170000.0;34273000.0;0.04488818321268064;0.30617206140548325;69503000.0;273985890.15441406
2023-03-31;190945191926.3153;2.9250648917129225;14.04;0.9455104838748943;105.76297323555805;75383000.0;362570000.0;271031000.0;66906000.0;204125000.0;0.5629947320517418;0.5060051313196415;1.0896383923830304;30.925301463503814;0.4292591038852066;27.545517300888772;45.56463107794896;30.80455373082101;0.0;0.0;0;53759000.0;-5738000.0;-36261000.0;241594000.0;2183000.0;-263434000.0;12592000.0;43538000.0;198056000.0;-22391000.0;800000.0;3945000.0;-18446000.0;28744000.0;403000.0;33573000.0;0.07281102441794982;0.3279119953681773;104811000.0;265719681.61482185
2023-06-30;284010376426.4756;2.2064476809225635;12.83;1.5638388606225337;63.94520721923481;58053000.0;338621000.0;279375000.0;60985000.0;218390000.0;0.6449393274486815;0.5866267684893938;1.4836657396513375;28.539314470903093;0.7030320438230276;25.418130709768093;45.11726357240901;29.948623199970537;24700000.0;85.36079623997789;0;47751000.0;-4003000.0;-43504000.0;236521000.0;3163000.0;-290483000.0;14389000.0;45589000.0;190932000.0;-19818000.0;850000.0;3714000.0;-16104000.0;-14783000.0;4267000.0;24015000.0;0.04053555507732038;0.3061244065032852;99752000.0;256168652.53465062
2023-09-30;340162259066.89984;2.04109059497475;10.71;2.28134319116644;43.833825786145944;64501000.0;289692000.0;305451000.0;67147000.0;238304000.0;0.822611601286884;0.6149939353273632;1.9968320114704579;29.70524674729637;0.822520876034008;21.437497997244208;36.191643655320135;23.29794311492609;15220000.0;56.875934230194325;975000;56528000.0;-13777000.0;-34742000.0;221245000.0;-27341000.0;-235520000.0;15540000.0;52746000.0;168499000.0;-12620000.0;908000.0;3542000.0;-9078000.0;-7260000.0;12193000.0;28805000.0;0.12219324706858853;0.2918011962102366;77237000.0;194267020.32498813
2024-03-31;366272242048.8784;1.8168581070761156;8.99;3.0461047196945175;32.82881227078386;60675000.0;258612000.0;308955000.0;81761000.0;227194000.0;0.8785129847029527;0.5542371475549007;2.2948132416472493;31.424899112609932;0.8714262321709438;20.225788092184064;28.740345724308526;19.561204489780586;0.0;0.0;1147000;46481000.0;-16440000.0;-35582000.0;204519000.0;-39958000.0;-150089000.0;14049000.0;56570000.0;147949000.0;-8301000.0;908000.0;3466000.0;-4835000.0;12088000.0;5334000.0;17527000.0;0.09025678952645765;0.3088132837900604;54587000.0;170918877.55457503
2024-06-30;419139156118.1033;-0.19970107041912577;5.86;5.253289584006873;19.03569152259191;49904000.0;233133000.0;331473000.0;67677000.0;263796000.0;1.1315257814209057;0.7015104776087651;2.929380036794891;28.8274819656077;1.067879497730919;-2.05712509610823;20.47415168599085;18.7975344622643;13446000.0;-534.6322067594433;772000;47170000.0;-10461000.0;-54178000.0;197930000.0;-44681000.0;-168006000.0;15260000.0;59238000.0;138692000.0;-6808000.0;1008000.0;3674000.0;-3134000.0;-18662000.0;9615000.0;21405000.0;0.13738110455280272;0.11847178408692605;6190000.0;148516100.94637224
2024-09-30;414125106742.9564;2.4956884251418963;6.15;4.872025280463986;20.52534505536813;63003000.0;238083000.0;322157000.0;77838000.0;244319000.0;1.0261925462968797;0.6184461325442409;2.7656074005408047;30.285031467288636;0.9893651755725267;25.216465249803218;20.435485871515972;19.244991006818086;7289000.0;22.306891908434327;0;62720000.0;-26293000.0;-32689000.0;212899000.0;-66971000.0;-157191000.0;24637000.0;69486000.0;143413000.0;2981000.0;1084000.0;3908000.0;6889000.0;-11561000.0;12411000.0;20337000.0;0.19725126243416144;0.2722656510990846;-4442000.0;135609993.31863433
2025-03-31;456468023798.558;2.7317658495130623;6.84;4.879763530708893;20.492796294469784;62016000.0;235598000.0;370314000.0;44038000.0;326276000.0;1.384884421769285;0.8206074903861389;3.3223712586633076;30.848882304636373;1.081970562837293;28.69080101344767;22.460092101920758;16.439667307794984;0.0;0.0;0;49338000.0;-10235000.0;-31444000.0;205709000.0;-63429000.0;-153893000.0;23297000.0;77243000.0;128466000.0;8717000.0;1179000.0;4179000.0;12896000.0;-48975000.0;6436000.0;18847000.0;0.25144364440008554;0.34126969329728724;-5358000.0;124819752.40048477
2025-06-30;403399134439.4258;2.0678526348723945;7.1;4.190606667961873;23.8628933525359;51420000.0;226343000.0;371437000.0;51847000.0;319590000.0;1.411972095448059;0.7954313533209552;3.19421910304019;31.173118990856235;0.9544539752745499;22.474984890202133;22.964194513442614;14.750801519362561;11718000.0;43.766340479569735;0;42424000.0;-14565000.0;-15493000.0;201652000.0;-61554000.0;-133804000.0;23170000.0;86364000.0;115288000.0;13534000.0;1095000.0;4366000.0;17900000.0;-43321000.0;16980000.0;24057000.0;0.3678631549414323;0.2571032186459489;-1560000.0;108088579.13429523
2025-09-30;410328338293.6421;2.537487634080056;9.83;3.103344122730461;32.2233036509066;66024000.0;242463000.0;376083000.0;62001000.0;314082000.0;1.2953811509384936;0.7390842924409534;2.987714984528122;32.97151146510609;0.925219117077024;25.68057792441324;30.03287360487198;13.945051707521683;8781000.0;26.733034980363502;0;53655000.0;-25937000.0;-17595000.0;208137000.0;-77030000.0;-97221000.0;26629000.0;97733000.0;110404000.0;18875000.0;1268000.0;4626000.0;23501000.0;-33006000.0;27079000.0;29875000.0;0.47782572108928795;0.26927098396031235;32767000.0;103105360.61489177
