dt_refer;valor_mercado;lpa;lpa_acum;p/l;l/p;ebitda;ebitda_acum;divida_bruta;caixa_total;divida_liquida;dl_ebitda;dl_pl;ev_ebitda;vpa;p/vp;margem_liquida;roe;roic;proventos;payout;buyback;fco_nao_acum;fci_nao_acum;fcf_nao_acum;fco_acum;fci_acum;fcf_acum;capex;capex_2;capex_acum;free_cash_flow;net_capex;rd;rd_acum;adjusted_net_capex;working_capital;change_in_non_cash_wc;change_in_non_cash_wc_acum;reinvestment_rate;effective_tax_rate;fcfe;fcff
2021-03-31;18125350872.15763;0.6480978327811235;2.81;7.905482906463732;12.64944864003657;1738063.0;5934200.0;18346437.0;4314022.0;14032415.0;2.3646683630480942;1.7341659769713227;5.419056633102631;9.917222571694891;2.239982697430432;16.280608257383214;28.385759448187702;16.222459236405662;0.0;0.0;0;611039.0;-233319.0;-602644.0;2158861.0;-1090831.0;533474.0;265845;0;1117949;1040912.0;195740.0;13885;53787;249527.0;3223419.0;635740.0;2685452.0;0.6843162454341674;0.21622854705058053;1901670.0;1804858.6829185197
2021-06-30;17285738431.62079;0.39070616719073675;2.58;8.21138722027919;12.178210248450561;1369471.0;5971759.0;18348993.0;5074016.0;13274977.0;2.2229592654358625;1.6249040509325987;5.117539979697906;10.012772699700099;2.1158354098016083;10.183127384845193;25.752784772119515;16.816417642318104;0.0;0.0;0;469427.0;106843.0;183724.0;1714518.0;-385691.0;714882.0;541033;0;794840;919678.0;-129888.0;7004;45074;-84814.0;3009735.0;1304345.0;3110802.0;0.6785496291731753;0.1509367681498829;879366.0;1895322.3868852463
2021-09-30;16969754117.165108;0.7827899073513545;2.42;8.59425993990307;11.635673193418425;1749254.0;6289438.0;19250276.0;4639451.0;14610825.0;2.3230732221225487;1.852692389528834;5.021208431844802;9.6653975755255;2.1518110240213946;18.857038649735042;25.0714469940527;17.81446582250605;789518.0;123.548282099913;0;204140.0;-369109.0;-269596.0;1446412.0;-901699.0;452999.0;762906;0;841862;604550.0;-90112.0;5362;39424;-50688.0;2700174.0;1044470.0;2086355.0;0.4210943624941304;0.23856844633818525;2595946.0;3001160.6180903083
2022-03-31;20007329800.14908;0.7901680116918197;2.61;9.395003044742278;10.643956103448307;1890517.0;6747305.0;20592690.0;4587654.0;16005036.0;2.3720635127654672;1.913740650880803;5.33729626868047;10.249953016672775;2.392299545850705;21.06429119802397;25.495464008424506;18.008885992224524;0.0;0.0;0;847516.0;-540755.0;-875513.0;2132122.0;-1036340.0;-1564029.0;86610;656157;1505673;626449.0;548065.0;8461;34712;582777.0;2256492.0;557317.0;1601787.0;0.41892925624544913;0.2106597618220175;1122714.0;3294048.896907015
2022-06-30;19422332170.094604;0.48320700556154644;2.45;9.715912488042092;10.292394062119797;1716102.0;6725344.0;20624743.0;4313392.0;16311351.0;2.42535563980073;2.0578139801928788;5.313287048230485;9.71476101547914;2.450290393945331;13.169529397433138;25.20299202313039;18.31277582382804;0.0;0.0;0;703852.0;-144603.0;-833511.0;2224935.0;-947624.0;-1794896.0;459145;0;1612363;612572.0;625556.0;9700;30527;656083.0;2226688.0;475378.0;884108.0;0.29457421422031765;0.17016676831191774;-83086.0;3981071.3873146726
2022-09-30;18412983266.35704;0.8994289126632709;2.96;7.623962453893713;13.116538887062326;1469270.0;6825143.0;18667494.0;3764944.0;14902550.0;2.1834780604596857;1.8515966853890284;4.881294540840688;9.864214201125213;2.2877573827372055;26.734446821098622;29.980508135318868;19.35363029916926;577884.0;78.69916041917759;0;794247.0;-496375.0;-846320.0;2549755.0;-1550842.0;-2824940.0;949228;0;1827258;722497.0;824898.0;8238;31761;856659.0;1931924.0;538218.0;278343.0;0.21951443106601434;0.21320871165933408;263031.0;4460320.716277465
2023-03-31;19613828241.870537;1.0807439884321128;3.25;7.396517826960637;13.519875479174207;1589045.0;6664934.0;17569002.0;2941750.0;14627252.0;2.1946581916640135;1.5816312915175117;5.137497271821527;11.334589506663912;2.1208251894335546;30.277910100667594;28.720845967315174;20.37484289938013;0.0;0.0;0;1280962.0;-406338.0;-168761.0;3626577.0;-1588071.0;-2724105.0;371301;0;1976686;1649891.0;1462041.0;9918;36317;1498358.0;1305889.0;-283344.0;254874.0;0.3208718066224448;0.2098296814319084;-527784.0;4047967.2343331277
2023-06-30;23264202559.59984;0.8978748534766081;3.36;8.485886028834752;11.784273281564635;2184441.0;6958858.0;18045185.0;4753812.0;13291373.0;1.9099934213343626;1.4295117543954559;5.253099798788801;11.39542209951092;2.502108022668901;28.07571316400291;29.50960335845709;19.088157982221865;0.0;0.0;0;1157136.0;-511805.0;1166731.0;3936197.0;-1559121.0;-681861.0;914616;0;1777234;2158963.0;805397.0;9897;37753;843150.0;1699925.0;-623150.0;-642249.0;0.03849209086310756;0.2571128143717432;1478000.0;5443802.924200959
2023-09-30;21579379816.128426;1.0629360389193288;3.94;6.712604174154059;14.897347945084558;1707548.0;6950304.0;17855653.0;3085251.0;14770402.0;2.1251447418702836;1.5726120822936045;5.2299556704467065;11.511157838560557;2.297567353092103;34.47924656814847;34.23880460033477;18.48586934653302;767200.0;88.52580079387057;0;915217.0;-764505.0;-1819273.0;4147562.0;-2179023.0;-1667623.0;1601003;0;2091086;2056476.0;1146703.0;7738;35791;1182494.0;516965.0;-722952.0;-660112.0;0.10370862431248977;0.2455602757852218;2368298.0;5157097.161501497
2024-03-31;21053859279.51748;2.0640234636464254;5.11;5.049624881632407;19.803451215503497;3165320.0;8646354.0;21227947.0;5262245.0;15965702.0;1.8465242112455724;1.3548516576918586;4.281522741206002;14.442573064129428;1.7866333810856156;64.54936102585367;35.351621371719986;18.870537639854643;0.0;0.0;0;899069.0;-351600.0;-540991.0;4252384.0;-2034248.0;-1362294.0;1083192;2361046;5045241;-792857.0;4108601.0;10556;38109;4146710.0;2906593.0;-364011.0;-1086963.0;0.49116661717138477;0.296601024637059;504951.0;3822118.7586665684
